SQL> exec assignJobTitlesAndSalaries
Mosteller                 director                 100000                       
Murtha                    supervisor               800000                       
Papas                     assistant                600000                       
Paulsen                   director                 100000                       
Turton                    supervisor               800000                       
Voorman                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Wright                    manager                  500000                       
Pope                      supervisor               800000                       
Sutphen                   assistant                600000                       
Belive                    assistant                600000                       
Brundage                  manager                  500000                       
Brush                     advisor                  130000                       
Chen                      supervisor               800000                       
Corrigan                  assistant                600000                       
Davies                    manager                  500000                       
Edgerton                  assistant                600000                       
Eisen                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Favreau                   advisor                  130000                       
Gardaphe                  manager                  500000                       
Gomez                     assistant                600000                       
Gottry                    advisor                  130000                       
Green                     manager                  500000                       
Hughes                    assistant                600000                       
Juska                     assistant                600000                       
Kimball                   director                 100000                       
Kravis                    supervisor               800000                       
LaBolt                    assistant                600000                       
Lewin                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lovett                    director                 100000                       
Massey                    manager                  500000                       
McDonough                 assistant                600000                       
Miranda                   manager                  500000                       
Mu??oz                    assistant                600000                       
Odio                      manager                  500000                       
Zichal                    advisor                  130000                       
Posey                     advisor                  130000                       
Richardson                manager                  500000                       
Rittner                   director                 100000                       
Ruemmler                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Schmuck                   assistant                600000                       
Skoczek                   director                 100000                       
Ayling                    director                 100000                       
Binns                     supervisor               800000                       
Bond                      manager                  500000                       
Branch                    director                 100000                       
Brown                     director                 100000                       
Carter                    director                 100000                       
Cohen                     assistant                600000                       
Dunn                      assistant                600000                       
Emanuel                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Greene                    manager                  500000                       
Hegde                     manager                  500000                       
Hiatt                     manager                  500000                       
Kochman                   manager                  500000                       
Koo                       manager                  500000                       
Lartey                    assistant                600000                       
Lelyveld                  director                 100000                       
Lezotte                   director                 100000                       
Lillie                    assistant                600000                       
Naidoff                   manager                  500000                       
Oxtoby                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pipkins                   advisor                  130000                       
Tranchin                  assistant                600000                       
Valencia                  director                 100000                       
Wade                      director                 100000                       
Samuels, Jr.              manager                  500000                       
Smoot                     assistant                600000                       
Stoev                     manager                  500000                       
Summers                   advisor                  130000                       
Teehee                    assistant                600000                       
Aldy, Jr.                 director                 100000                       
Anderson                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Beinart                   advisor                  130000                       
Blake                     advisor                  130000                       
Coven                     director                 100000                       
Cunningham                assistant                600000                       
DeRosa                    manager                  500000                       
Finlen                    manager                  500000                       
Fiscus                    director                 100000                       
Ford                      manager                  500000                       
Hanson                    manager                  500000                       
Hash                      supervisor               800000                       
Jackson                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarvis-Shean              advisor                  130000                       
Jean-Pierre               advisor                  130000                       
Kale                      advisor                  130000                       
Kelly                     assistant                600000                       
Love                      manager                  500000                       
McGrath                   assistant                600000                       
Mrazek                    manager                  500000                       
Neralla                   manager                  500000                       
Papa                      manager                  500000                       
Phadke                    assistant                600000                       
Terrell                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Watkins                   advisor                  130000                       
Webster                   assistant                600000                       
Zelman                    assistant                600000                       
Rivadeneira               supervisor               800000                       
Rosalsky                  manager                  500000                       
Sabochik                  advisor                  130000                       
Schiliro                  director                 100000                       
Sheehy                    director                 100000                       
Swire                     advisor                  130000                       
Bassin                    advisor                  130000                       
Burman                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Carden                    manager                  500000                       
Douglas                   advisor                  130000                       
DuBois                    assistant                600000                       
Earnest                   director                 100000                       
Garcia                    supervisor               800000                       
Hennigan                  director                 100000                       
Hornsby                   advisor                  130000                       
Jamison                   manager                  500000                       
King                      director                 100000                       
Kramer                    manager                  500000                       
Lepow                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Markovitz                 advisor                  130000                       
McBride                   advisor                  130000                       
Monteiro                  supervisor               800000                       
Neiman                    manager                  500000                       
Offerman                  advisor                  130000                       
Olmos                     manager                  500000                       
Ortiz                     manager                  500000                       
Thorbjornsen              assistant                600000                       
Tucci                     assistant                600000                       
Wang-Levine               director                 100000                       
Rathod                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Santucci                  manager                  500000                       
Schaub                    director                 100000                       
Sinha                     manager                  500000                       
Abrams                    director                 100000                       
Attili                    director                 100000                       
Bernard                   manager                  500000                       
Burton                    director                 100000                       
Campoverdi                advisor                  130000                       
Castillo                  manager                  500000                       
Conrad                    director                 100000                       
Cusack                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeParle                   assistant                600000                       
Donovan                   director                 100000                       
Fernkas                   director                 100000                       
Freeman                   supervisor               800000                       
Godfrey                   manager                  500000                       
Greenawalt                assistant                600000                       
Jones                     assistant                600000                       
Kumar                     supervisor               800000                       
Ledbetter                 director                 100000                       
Lesser                    supervisor               800000                       
McCathran                 director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Millison                  director                 100000                       
Moilanen                  director                 100000                       
Nelson                    supervisor               800000                       
Thomas, III               manager                  500000                       
Walsh                     manager                  500000                       
Whichard, IV              manager                  500000                       
Roberts                   advisor                  130000                       
Rundlet                   assistant                600000                       
Setser                    manager                  500000                       
Sobel                     manager                  500000                       
Stracko                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Amorsingh                 manager                  500000                       
Andrias                   manager                  500000                       
Baggetto                  advisor                  130000                       
Bisi                      manager                  500000                       
Block                     director                 100000                       
Blount                    manager                  500000                       
Brooke                    director                 100000                       
Burnough                  manager                  500000                       
Canery                    director                 100000                       
Cushman                   director                 100000                       
Fergenson                 assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Furman                    manager                  500000                       
Gibbs                     advisor                  130000                       
Hable                     manager                  500000                       
Higginbottom              director                 100000                       
Johnston                  supervisor               800000                       
Keenan                    supervisor               800000                       
Kohnke                    advisor                  130000                       
Lipsky                    advisor                  130000                       
Mack                      director                 100000                       
Mayekar                   manager                  500000                       
McLaughlin                manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Millett                   director                 100000                       
Odintz                    assistant                600000                       
Vale                      supervisor               800000                       
Wong                      director                 100000                       
Psaki                     assistant                600000                       
Roche                     assistant                600000                       
Rouse                     supervisor               800000                       
Seymour                   manager                  500000                       
Shaw                      supervisor               800000                       
Showers                   manager                  500000                       
Sirbu                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Adams                     assistant                600000                       
Alley                     assistant                600000                       
Barnes                    director                 100000                       
Bedingfield               advisor                  130000                       
Cobbina                   assistant                600000                       
Dalheim                   supervisor               800000                       
Escobar                   manager                  500000                       
Gaspard                   director                 100000                       
Jawando                   director                 100000                       
Konwinski                 supervisor               800000                       
Limon                     supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Loeb                      supervisor               800000                       
Messina                   advisor                  130000                       
Newell                    assistant                600000                       
Noel                      assistant                600000                       
Page                      director                 100000                       
Vanderslice               manager                  500000                       
White                     director                 100000                       
Quinn                     advisor                  130000                       
Raizk                     supervisor               800000                       
Sahgal                    manager                  500000                       
Schafer                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sibley                    assistant                600000                       
Swanson                   manager                  500000                       
Tchen                     manager                  500000                       
Bauer                     assistant                600000                       
Bhowmik                   manager                  500000                       
Buffett                   director                 100000                       
Cherlin                   director                 100000                       
Colvin                    supervisor               800000                       
Cuellar                   supervisor               800000                       
Dillon                    supervisor               800000                       
Fernandez                 manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Frye                      advisor                  130000                       
Graham                    advisor                  130000                       
Hopkins                   assistant                600000                       
Johnson                   advisor                  130000                       
Larus                     supervisor               800000                       
Mackey                    director                 100000                       
McGuire                   manager                  500000                       
Mueller                   advisor                  130000                       
Onek                      supervisor               800000                       
Parker                    manager                  500000                       
Phillips, III             supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Watson                    manager                  500000                       
Pojman                    assistant                600000                       
Rodriguez                 director                 100000                       
Asen                      director                 100000                       
Browner                   assistant                600000                       
Cardwell                  director                 100000                       
Chiodo                    assistant                600000                       
Crowley                   assistant                600000                       
Devine                    assistant                600000                       
Edmonds                   manager                  500000                       
Espinel                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gillette                  supervisor               800000                       
Grant                     director                 100000                       
Harper                    supervisor               800000                       
Hurwitz                   supervisor               800000                       
Kammerer                  assistant                600000                       
Kommareddi                assistant                600000                       
Lerner                    supervisor               800000                       
Lippert                   assistant                600000                       
Martin                    assistant                600000                       
Mattson                   director                 100000                       
Milakofsky                assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Muntz                     advisor                  130000                       
Thomas                    assistant                600000                       
Portilla                  supervisor               800000                       
Roach                     assistant                600000                       
Samuels                   manager                  500000                       
Simas                     manager                  500000                       
Spencer                   supervisor               800000                       
Becnel                    assistant                600000                       
Birdsall                  manager                  500000                       
Brewer                    supervisor               800000                       
Campos                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Claude                    assistant                600000                       
Davis                     manager                  500000                       
Edwards                   assistant                600000                       
Faulman                   assistant                600000                       
Hernandez                 manager                  500000                       
Hogan                     assistant                600000                       
Krass                     supervisor               800000                       
Leitner-Laserna           director                 100000                       
Liegel                    director                 100000                       
Lu                        assistant                600000                       
Narechania                assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Trainor                   supervisor               800000                       
Turk                      advisor                  130000                       
Vogel                     director                 100000                       
Pulliam                   manager                  500000                       
Schuker                   assistant                600000                       
Stickel                   director                 100000                       
Sweeney                   supervisor               800000                       
Albino                    director                 100000                       
Baldassaro                assistant                600000                       
Chambers                  director                 100000                       
Cuba                      supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeGuzman                  assistant                600000                       
Fenn                      assistant                600000                       
Fitts                     assistant                600000                       
Gage                      director                 100000                       
Gray                      assistant                600000                       
Harris                    supervisor               800000                       
Jabbour                   assistant                600000                       
Jarrett                   assistant                600000                       
Kalbaugh                  assistant                600000                       
Levine                    manager                  500000                       
Maska                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Metcalf                   advisor                  130000                       
Paige                     manager                  500000                       
Pfeiffer                  advisor                  130000                       
Tennison                  supervisor               800000                       
Tucker                    supervisor               800000                       
Young                     director                 100000                       
Pourmorad                 manager                  500000                       
Robertson                 advisor                  130000                       
Sanders                   assistant                600000                       
Shah                      manager                  500000                       
Strautmanis               director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bressler                  assistant                600000                       
De Sio, Jr.               assistant                600000                       
Dyer                      assistant                600000                       
Firestone                 assistant                600000                       
Gavin, Jr.                assistant                600000                       
Hurley                    director                 100000                       
Kim                       supervisor               800000                       
Lee                       director                 100000                       
Leger                     director                 100000                       
Lorjuste                  director                 100000                       
McNeal                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Nathan                    assistant                600000                       
Ocampo                    assistant                600000                       
Olson                     director                 100000                       
Pate                      assistant                600000                       
Tubman                    assistant                600000                       
Vietor                    director                 100000                       
Witt                      assistant                600000                       
Reeves                    manager                  500000                       
Saunders                  manager                  500000                       
Tate-Gilmore              assistant                600000                       
Axelrod                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Beverly                   assistant                600000                       
Camu??ez                  advisor                  130000                       
Chhabra                   supervisor               800000                       
DeGuzman, Jr.             assistant                600000                       
Droege                    assistant                600000                       
Flatgard                  assistant                600000                       
Goodman                   assistant                600000                       
Jarvis                    manager                  500000                       
Jung                      assistant                600000                       
Kocher                    assistant                600000                       
Lechtenberg               supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lipton                    manager                  500000                       
Mehrbani                  assistant                600000                       
Nabors                    director                 100000                       
Northern                  director                 100000                       
Verrilli                  advisor                  130000                       
Winter                    manager                  500000                       
Roddick                   supervisor               800000                       
Smith                     manager                  500000                       
Stoneman                  assistant                600000                       
Taggart, Jr.              director                 100000                       
Baskerville, Jr.          manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bookey-Baker              manager                  500000                       
Campbell                  assistant                600000                       
Dale                      assistant                600000                       
Finkenbinder              assistant                600000                       
Gottlieb                  manager                  500000                       
Hitchcock                 manager                  500000                       
Kang                      assistant                600000                       
Kiley                     assistant                600000                       
Lehrich                   director                 100000                       
Luck                      assistant                600000                       
Mastromonaco              advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Nguyen                    director                 100000                       
Tseggai                   advisor                  130000                       
Weiser                    director                 100000                       
Williams                  supervisor               800000                       

433 rows selected.

SQL> describe AlphaCoEmp;
 Name                                      Null?    Type
 ----------------------------------------- -------- ----------------------------
 NAME                                      NOT NULL VARCHAR2(25)
 TITLE                                              VARCHAR2(20)
 SALARY                                             NUMBER(10,2)

SQL> @/home/fkuan/Documents/COEN178/labs/Lab5/5_queries.sql

Procedure created.

No errors.

Procedure created.

  2  exec assignJobTitlesAndSalaries
  3  
SQL> Select * from AlphaCoEmp;

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Perez                     assistant                600000                       
Utech                     advisor                  130000                       
Vega                      advisor                  130000                       
Whitty                    supervisor               800000                       
Wilson                    assistant                600000                       
Reinstein                 manager                  500000                       
Sathe                     assistant                600000                       
Schulman                  manager                  500000                       
Shapiro                   director                 100000                       
Sher                      advisor                  130000                       
Siegel                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Stephens                  advisor                  130000                       
Sutton                    assistant                600000                       
Anello                    assistant                600000                       
Bates                     supervisor               800000                       
Chaifetz                  assistant                600000                       
Clarke                    supervisor               800000                       
Crutchfield               assistant                600000                       
Ealons                    assistant                600000                       
Farrell                   assistant                600000                       
Groth                     manager                  500000                       
Heimbach                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kennedy                   director                 100000                       
Lewis                     supervisor               800000                       
Liddell-Westefeld         director                 100000                       
London                    manager                  500000                       
Maher                     director                 100000                       
Monje, Jr.                advisor                  130000                       
Nicholson, Jr.            director                 100000                       
Oleske                    assistant                600000                       
Terry                     assistant                600000                       
Wear                      assistant                600000                       
Yeager Kaplan             manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Young, Jr.                manager                  500000                       
Reed                      manager                  500000                       
Ryan                      manager                  500000                       
Sass                      advisor                  130000                       
Schwartz                  assistant                600000                       
Singiser                  director                 100000                       
Starkey                   director                 100000                       
Tamarin                   manager                  500000                       
Agnew                     supervisor               800000                       
Beliveau                  director                 100000                       
Brennan                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Carrier                   assistant                600000                       
Cizner                    advisor                  130000                       
Cokley                    assistant                600000                       
Cutter                    manager                  500000                       
Deese                     advisor                  130000                       
Donilon                   director                 100000                       
Dorsett                   advisor                  130000                       
Frank                     advisor                  130000                       
Frankel                   advisor                  130000                       
Gonzalez                  manager                  500000                       
Hoang                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Inouye                    assistant                600000                       
Kelleher, Jr.             assistant                600000                       
Lynn                      manager                  500000                       
McCarthy                  director                 100000                       
McGinnis                  manager                  500000                       
Mosteller                 director                 100000                       
Murtha                    supervisor               800000                       
Papas                     assistant                600000                       
Paulsen                   director                 100000                       
Turton                    supervisor               800000                       
Voorman                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Wright                    manager                  500000                       
Pope                      supervisor               800000                       
Sutphen                   assistant                600000                       
Belive                    assistant                600000                       
Brundage                  manager                  500000                       
Brush                     advisor                  130000                       
Chen                      supervisor               800000                       
Corrigan                  assistant                600000                       
Davies                    manager                  500000                       
Edgerton                  assistant                600000                       
Eisen                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Favreau                   advisor                  130000                       
Gardaphe                  manager                  500000                       
Gomez                     assistant                600000                       
Gottry                    advisor                  130000                       
Green                     manager                  500000                       
Hughes                    assistant                600000                       
Juska                     assistant                600000                       
Kimball                   director                 100000                       
Kravis                    supervisor               800000                       
LaBolt                    assistant                600000                       
Lewin                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lovett                    director                 100000                       
Massey                    manager                  500000                       
McDonough                 assistant                600000                       
Miranda                   manager                  500000                       
Mu??oz                    assistant                600000                       
Odio                      manager                  500000                       
Zichal                    advisor                  130000                       
Posey                     advisor                  130000                       
Richardson                manager                  500000                       
Rittner                   director                 100000                       
Ruemmler                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Schmuck                   assistant                600000                       
Skoczek                   director                 100000                       
Ayling                    director                 100000                       
Binns                     supervisor               800000                       
Bond                      manager                  500000                       
Branch                    director                 100000                       
Brown                     director                 100000                       
Carter                    director                 100000                       
Cohen                     assistant                600000                       
Dunn                      assistant                600000                       
Emanuel                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Greene                    manager                  500000                       
Hegde                     manager                  500000                       
Hiatt                     manager                  500000                       
Kochman                   manager                  500000                       
Koo                       manager                  500000                       
Lartey                    assistant                600000                       
Lelyveld                  director                 100000                       
Lezotte                   director                 100000                       
Lillie                    assistant                600000                       
Naidoff                   manager                  500000                       
Oxtoby                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pipkins                   advisor                  130000                       
Tranchin                  assistant                600000                       
Valencia                  director                 100000                       
Wade                      director                 100000                       
Samuels, Jr.              manager                  500000                       
Smoot                     assistant                600000                       
Stoev                     manager                  500000                       
Summers                   advisor                  130000                       
Teehee                    assistant                600000                       
Aldy, Jr.                 director                 100000                       
Anderson                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Beinart                   advisor                  130000                       
Blake                     advisor                  130000                       
Coven                     director                 100000                       
Cunningham                assistant                600000                       
DeRosa                    manager                  500000                       
Finlen                    manager                  500000                       
Fiscus                    director                 100000                       
Ford                      manager                  500000                       
Hanson                    manager                  500000                       
Hash                      supervisor               800000                       
Jackson                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarvis-Shean              advisor                  130000                       
Jean-Pierre               advisor                  130000                       
Kale                      advisor                  130000                       
Kelly                     assistant                600000                       
Love                      manager                  500000                       
McGrath                   assistant                600000                       
Mrazek                    manager                  500000                       
Neralla                   manager                  500000                       
Papa                      manager                  500000                       
Phadke                    assistant                600000                       
Terrell                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Watkins                   advisor                  130000                       
Webster                   assistant                600000                       
Zelman                    assistant                600000                       
Rivadeneira               supervisor               800000                       
Rosalsky                  manager                  500000                       
Sabochik                  advisor                  130000                       
Schiliro                  director                 100000                       
Sheehy                    director                 100000                       
Swire                     advisor                  130000                       
Bassin                    advisor                  130000                       
Burman                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Carden                    manager                  500000                       
Douglas                   advisor                  130000                       
DuBois                    assistant                600000                       
Earnest                   director                 100000                       
Garcia                    supervisor               800000                       
Hennigan                  director                 100000                       
Hornsby                   advisor                  130000                       
Jamison                   manager                  500000                       
King                      director                 100000                       
Kramer                    manager                  500000                       
Lepow                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Markovitz                 advisor                  130000                       
McBride                   advisor                  130000                       
Monteiro                  supervisor               800000                       
Neiman                    manager                  500000                       
Offerman                  advisor                  130000                       
Olmos                     manager                  500000                       
Ortiz                     manager                  500000                       
Thorbjornsen              assistant                600000                       
Tucci                     assistant                600000                       
Wang-Levine               director                 100000                       
Rathod                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Santucci                  manager                  500000                       
Schaub                    director                 100000                       
Sinha                     manager                  500000                       
Abrams                    director                 100000                       
Attili                    director                 100000                       
Bernard                   manager                  500000                       
Burton                    director                 100000                       
Campoverdi                advisor                  130000                       
Castillo                  manager                  500000                       
Conrad                    director                 100000                       
Cusack                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeParle                   assistant                600000                       
Donovan                   director                 100000                       
Fernkas                   director                 100000                       
Freeman                   supervisor               800000                       
Godfrey                   manager                  500000                       
Greenawalt                assistant                600000                       
Jones                     assistant                600000                       
Kumar                     supervisor               800000                       
Ledbetter                 director                 100000                       
Lesser                    supervisor               800000                       
McCathran                 director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Millison                  director                 100000                       
Moilanen                  director                 100000                       
Nelson                    supervisor               800000                       
Thomas, III               manager                  500000                       
Walsh                     manager                  500000                       
Whichard, IV              manager                  500000                       
Roberts                   advisor                  130000                       
Rundlet                   assistant                600000                       
Setser                    manager                  500000                       
Sobel                     manager                  500000                       
Stracko                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Amorsingh                 manager                  500000                       
Andrias                   manager                  500000                       
Baggetto                  advisor                  130000                       
Bisi                      manager                  500000                       
Block                     director                 100000                       
Blount                    manager                  500000                       
Brooke                    director                 100000                       
Burnough                  manager                  500000                       
Canery                    director                 100000                       
Cushman                   director                 100000                       
Fergenson                 assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Furman                    manager                  500000                       
Gibbs                     advisor                  130000                       
Hable                     manager                  500000                       
Higginbottom              director                 100000                       
Johnston                  supervisor               800000                       
Keenan                    supervisor               800000                       
Kohnke                    advisor                  130000                       
Lipsky                    advisor                  130000                       
Mack                      director                 100000                       
Mayekar                   manager                  500000                       
McLaughlin                manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Millett                   director                 100000                       
Odintz                    assistant                600000                       
Vale                      supervisor               800000                       
Wong                      director                 100000                       
Psaki                     assistant                600000                       
Roche                     assistant                600000                       
Rouse                     supervisor               800000                       
Seymour                   manager                  500000                       
Shaw                      supervisor               800000                       
Showers                   manager                  500000                       
Sirbu                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Adams                     assistant                600000                       
Alley                     assistant                600000                       
Barnes                    director                 100000                       
Bedingfield               advisor                  130000                       
Cobbina                   assistant                600000                       
Dalheim                   supervisor               800000                       
Escobar                   manager                  500000                       
Gaspard                   director                 100000                       
Jawando                   director                 100000                       
Konwinski                 supervisor               800000                       
Limon                     supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Loeb                      supervisor               800000                       
Messina                   advisor                  130000                       
Newell                    assistant                600000                       
Noel                      assistant                600000                       
Page                      director                 100000                       
Vanderslice               manager                  500000                       
White                     director                 100000                       
Quinn                     advisor                  130000                       
Raizk                     supervisor               800000                       
Sahgal                    manager                  500000                       
Schafer                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sibley                    assistant                600000                       
Swanson                   manager                  500000                       
Tchen                     manager                  500000                       
Bauer                     assistant                600000                       
Bhowmik                   manager                  500000                       
Buffett                   director                 100000                       
Cherlin                   director                 100000                       
Colvin                    supervisor               800000                       
Cuellar                   supervisor               800000                       
Dillon                    supervisor               800000                       
Fernandez                 manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Frye                      advisor                  130000                       
Graham                    advisor                  130000                       
Hopkins                   assistant                600000                       
Johnson                   advisor                  130000                       
Larus                     supervisor               800000                       
Mackey                    director                 100000                       
McGuire                   manager                  500000                       
Mueller                   advisor                  130000                       
Onek                      supervisor               800000                       
Parker                    manager                  500000                       
Phillips, III             supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Watson                    manager                  500000                       
Pojman                    assistant                600000                       
Rodriguez                 director                 100000                       
Asen                      director                 100000                       
Browner                   assistant                600000                       
Cardwell                  director                 100000                       
Chiodo                    assistant                600000                       
Crowley                   assistant                600000                       
Devine                    assistant                600000                       
Edmonds                   manager                  500000                       
Espinel                   director                 100000                       

NAME                      TITLE                    SALARY                       
